well , molecule 
B12 , Biotin-SCRIB_4_C, grp_6_3 
A2 , HPV18_E6-MAGI1_2_C, grp_1_1 
B6 , Biotin-SCRIB_1_C, grp_3_3 
B1 , NONE-MAGI1_2_C, grp_1_2 
B4 , Biotin-MAGI1_3_C, grp_2_3 
A3 , HPV16_E6-MAGI1_3_C, grp_2_0 
B9 , NONE-SCRIB_3_C, grp_5_2 
B7 , NONE-SCRIB_2_C, grp_4_2 
A5 , HPV16_E6-SCRIB_1_C, grp_3_0 
B10 , Biotin-SCRIB_3_C, grp_5_3 
A10 , HPV18_E6-SCRIB_3_C, grp_5_1 
A8 , HPV18_E6-SCRIB_2_C, grp_4_1 
A12 , HPV18_E6-SCRIB_4_C, grp_6_1 
A11 , HPV16_E6-SCRIB_4_C, grp_6_0 
B2 , Biotin-MAGI1_2_C, grp_1_3 
A7 , HPV16_E6-SCRIB_2_C, grp_4_0 
A1 , HPV16_E6-MAGI1_2_C, grp_1_0 
A4 , HPV18_E6-MAGI1_3_C, grp_2_1 
A6 , HPV18_E6-SCRIB_1_C, grp_3_1 
B11 , NONE-SCRIB_4_C, grp_6_2 
B8 , Biotin-SCRIB_2_C, grp_4_3 
B5 , NONE-SCRIB_1_C, grp_3_2 
B3 , NONE-MAGI1_3_C, grp_2_2 
A9 , HPV16_E6-SCRIB_3_C, grp_5_0 
